,Name,Sex
896,Bruce Robert Kingma,1
897,Bruce Sacerdote,1
898,Bruce Shearer,
899,Bruce Smith,1
900,Bruce W. Hamilton,1
901,Bruce Wydick,1
902,Bruno Biais,1
903,Bruno Broseta,1
904,Bruno Contini,1
905,Bruno Crépon,1
906,Bruno Ferman,1
907,Bruno Jullien,1
908,Bruno L. S. Falcão,1
909,Bruno S. Frey,1
910,Bruno Strulovici,1
911,Bruno Van Der Linden,
912,Bryan E. Stanhouse,1
913,Bryan Ellickson,1
914,Bryan L. Boulier,1
915,Bryan S. Graham,1
916,Bryan W. Brown,1
917,Burcu Eyigungor,0
918,Burhanettin Kuruscu,
919,Burhanettin Kuruşçu,1
920,Burt S. Barnow,
921,Burton A. Abrams,1
922,Burton A. Weisbrod,1
923,Burton G. Malkiel,1
924,Burton Hollifield,
925,Burton Zwick,1
926,Byong-Hyong Bahk,1
927,Byoung Jun,1
928,Byran W. Brown,
929,Byron F. Lutz,1
930,Byron G. Spencer,1
931,Byron W. Brown,1
932,Byung Sam Yoo,1
933,Byung-Joo Lee,1
934,Byung-Kun Rhee,1
935,Byung-Nak Song,1
936,Bård Harstad,1
937,Béla Martos,1
938,C. A. Blyth,1
939,C. B. Tilanus,1
940,C. Blackorby,1
941,C. Christian von Weizsäcker,1
942,C. D. Aliprantis,1
943,C. Duncan MacRae,1
944,C. E. Ferguson,1
945,C. E. Phelps,1
946,C. E. V. Leser,1
947,C. Fourgeaud,1
948,C. Fritz Foley,1
949,C. Gourieroux,1
950,C. H. Hanumantha Rao,1
951,C. Hansen,1
952,C. J. van Eijk,1
953,C. John McDermott,
954,C. K. Clague,1
955,C. L. F. Attfield,1
956,C. Lanier Benkard,1
957,C. M. K. Watts,1
958,C. M. Lindsay,1
959,C. Martinelli,
960,C. Meghir,1
961,C. Oddou,1
962,C. P. Hallwood,1
963,C. P. Timmer,1
964,C. R. S. Dougherty,1
965,C. R. Sirmans,
966,C. R. Wymer,1
967,C. T. Leenders,1
968,C. Timothy Koeller,1
969,C. W. J. Granger,1
970,C. Y. Cyrus Chu,1
971,C. Zachary Gilstein,1
972,C. d'Aspremont,1
973,C. van de Panne,
974,Caglar Ozden,1
975,Camille Bronsard,
976,Camille Landais,1
977,Camilo Dagum,1
978,Camilo García-Jimeno,1
979,Campbell R. Harvey,1
980,Canice Prendergast,1
981,Cara S. Lown,0
982,Caralee McLiesh,0
983,Carl A. Futia,1
984,Carl Davidson,1
985,Carl E. Walsh,1
986,Carl F. Christ,1
987,Carl M. CampbellIII,
988,Carl P. Simon,1
989,Carl Shapiro,1
990,Carl Wennerlind,1
991,Carlo Perroni,
992,Carlos A. Flores,1
993,Carlos A. Végh,1
994,Carlos Alfredo Rodriguez,
995,Carlos Alfredo Rodríguez,1
996,Carlos Dobkin,1
997,Carlos E. da Costa,1
998,Carlos J. Ponce,1
999,Carlos Rodríguez-Palmero,1
1000,Carlos Urrutia,1
1001,Carlos Vargas-Silva,1
1002,Carlos Velasco,1
1003,Carlton Hubbard,1
1004,Carmela Quintos,
1005,Carmen F. Menezes,1
1006,Carmen M. Reinhart,0
1007,Carmen Tanner,0
1008,Carol Ann Rogers,0
1009,Carol J. Simon,0
1010,Carol Propper,0
1011,Carola Frydman,0
1012,Carolina Caetano,0
1013,Carolina Villegas-Sanchez,0
1014,Caroline Freund,0
